date,k_max_helsinki,ak_helsinki,n_missing_k
1846-07-22,3.0,5.0,0
1846-07-23,4.0,12.0,0
1846-07-24,4.0,10.0,0
1846-07-25,5.0,20.0,0
1846-07-26,3.0,9.0,0
1846-07-27,4.0,14.0,0
1846-07-28,3.0,8.0,0
1846-07-29,4.0,10.0,0
1846-07-30,5.0,15.0,0
1846-07-31,5.0,21.0,0
1846-08-01,5.0,20.0,0
1846-08-02,5.0,15.0,0
1846-08-03,5.0,21.0,0
1846-08-04,3.0,7.0,0
1846-08-05,3.0,9.0,0
1846-08-06,5.0,14.0,0
1846-08-07,8.0,81.0,0
1846-08-08,6.0,32.0,0
1846-08-09,5.0,31.0,0
1846-08-10,6.0,25.0,0
1846-08-11,3.0,12.0,0
1846-08-12,6.0,34.0,0
1846-08-13,4.0,17.0,0
1846-08-14,5.0,28.0,0
1846-08-15,6.0,33.0,0
1846-08-16,7.0,32.0,0
1846-08-17,5.0,16.0,0
1846-08-18,5.0,17.0,0
1846-08-19,3.0,9.0,0
1846-08-20,3.0,9.0,0
1846-08-21,4.0,13.0,0
1846-08-22,4.0,13.0,0
1846-08-23,4.0,12.0,0
1846-08-24,4.0,8.0,0
1846-08-25,5.0,24.0,0
1846-08-26,5.0,17.0,0
1846-08-27,5.0,16.0,0
1846-08-28,6.0,17.0,0
1846-08-29,6.0,30.0,0
1846-08-30,4.0,15.0,0
1846-08-31,3.0,4.0,0
1846-09-01,3.0,9.0,0
1846-09-02,3.0,4.0,0
1846-09-03,2.0,4.0,0
1846-09-04,5.0,26.0,0
1846-09-05,6.0,45.0,0
1846-09-06,6.0,36.0,0
1846-09-07,3.0,5.0,0
1846-09-08,6.0,24.0,0
1846-09-09,4.0,10.0,0
1846-09-10,2.0,3.0,0
1846-09-11,7.0,54.0,0
1846-09-12,6.0,41.0,0
1846-09-13,5.0,19.0,0
1846-09-14,6.0,26.0,0
1846-09-15,4.0,14.0,0
1846-09-16,3.0,7.0,0
1846-09-17,3.0,7.0,0
1846-09-18,3.0,6.0,0
1846-09-19,5.0,12.0,0
1846-09-20,3.0,5.0,0
1846-09-21,5.0,14.0,0
1846-09-22,9.0,154.0,0
1846-09-23,6.0,22.0,0
