event_index,t_days,year,ssn_at_event,mu_at_event_per_year,p_background_v5
209,25033.777256520185,2000.5387467666535,171.37808294840738,3.3395904857514025,0.9999999999999459
210,25097.582326597923,2000.7134355279888,170.24097352421612,3.32082762229407,1.0
211,25292.408099042183,2001.246839422429,159.82544138694576,3.1480502009121243,1.0
212,25303.538117346507,2001.2773117518043,160.8886243074564,3.1657643075222044,0.984587087263223
213,25512.26832030726,2001.8487839022787,178.48885043845038,3.456493657929414,1.0
214,25530.973186585077,2001.8999950351406,178.76800918739156,3.461068338263662,0.9998887543124847
215,25710.15433646045,2002.390566287366,169.8753775932089,3.3147910235547644,1.0
216,26081.002314635345,2003.4058927163185,105.195829923179,2.209576201087989,1.0
217,26234.336275594047,2003.8256982220234,87.46407932894903,1.8899928205822332,1.0
218,26235.73728907063,2003.829533987873,87.37591291610478,1.8883803037869382,0.06923534809788273
219,26236.341216226698,2003.8311874503127,87.33790750654956,1.8876851279479379,0.030720706756440664
220,26256.917293130562,2003.88752167866,86.10248161465462,1.8650618864240414,0.9998784100105598
221,26504.247368547134,2004.5646745203208,63.621305588384395,1.4436938482000035,1.0
222,26506.35564827848,2004.5704466756426,63.53091744185923,1.4419577733611817,0.08206085501793536
223,26609.501784393207,2004.852845405594,57.37783373040203,1.3228491128725426,1.0
224,26610.45309616534,2004.8554499552781,57.3843511392502,1.3229762798469098,0.037589842862806984
225,26611.511412146934,2004.8583474665213,57.39160163077637,1.3231177480429472,0.02639260667594712
226,26612.127567473977,2004.8600344078686,57.3958228927201,1.3232001100646231,0.017366089452136572
227,26684.085391293087,2005.057044192452,55.551728695030754,1.2871298200956856,1.0
228,26791.273357579157,2005.3505088503193,46.14841213168471,1.1001671494446006,1.0
229,26798.87966335366,2005.3713337805714,45.258237335010264,1.0821800044200152,0.6950801929530204
230,26899.349088911586,2005.6464040764176,39.9923197782568,0.9746171841291383,1.0
231,27377.144164110046,2006.9545356991378,20.450441743325825,0.5524866329243145,1.0
232,29288.91250277745,2012.1886721499725,98.46956189890653,2.08940395285303,1.0
233,30488.889486586584,2015.4740300796348,72.11410430807744,1.6052034858637956,1.0
234,31297.178660320507,2017.6870052301724,18.041909004574062,0.49689498396750814,1.0
235,33320.71044036267,2023.2271333069477,120.72309558827052,2.4826316732716727,1.0
236,33350.638833195495,2023.3090727808228,121.18067353623775,2.4905932245645284,0.9999998842482195
237,33351.35830534192,2023.311042588205,121.20135205717527,2.4909529078183015,0.059603051170740697
238,33686.98380823302,2024.229935135477,141.8249064550458,2.845266686683637,1.0
239,33733.94475039073,2024.3585071879281,147.0045154621714,2.932966941362091,0.9999999999982258
240,33734.45096214802,2024.3598931201861,147.07249512587424,2.934114770052296,0.06113365949461835
241,33827.94188640622,2024.6158573207563,155.24007548210585,3.071442263316898,1.0
242,33886.09329545193,2024.7750672017849,158.67948733691625,3.1289367193448427,0.9999999999999988
243,33887.78083988658,2024.7796874466437,158.83711922033172,3.1315671321947884,0.12910003523138136
244,33969.59221944763,2025.0036747965712,148.70221865474358,2.9616081545160045,1.0
245,34284.86102583831,2025.8668337463062,105.95373210768122,2.223041648686336,1.0
